2026-02-03 05:35:07.752 | INFO     | agents.lazy_agent:__init__:50 - LazyAgent agent_0 configured (model not loaded yet)
2026-02-03 05:35:07.753 | INFO     | agents.lazy_agent:__init__:50 - LazyAgent agent_1 configured (model not loaded yet)
2026-02-03 05:35:07.753 | INFO     | agents.lazy_agent:__init__:50 - LazyAgent agent_2 configured (model not loaded yet)
2026-02-03 05:35:07.753 | INFO     | __main__:<module>:48 - Starting homo_ds: 100 episodes, resuming from 0
2026-02-03 05:35:07.754 | INFO     | runtime.game_loop:run_episode:39 - Starting episode 0 with seed 42
2026-02-03 05:35:07.754 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 05:35:07.754 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:35:27.532 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=7247ms, infer=12077ms, output=cooperate", "reason": "Since this is the first rou...
2026-02-03 05:35:27.533 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 05:35:27.533 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:35:40.663 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2070ms, infer=10604ms, output=cooperate", "reason": "Since this is the first rou...
2026-02-03 05:35:40.663 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 05:35:40.663 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:35:52.894 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2026ms, infer=9702ms, output=cooperate", "reason": "Since this is the first rou...
2026-02-03 05:35:52.897 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 05:35:52.898 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:36:18.299 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2115ms, infer=22826ms, output=cooperate", "reason": "Since all previous actions ...
2026-02-03 05:36:18.299 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 05:36:18.299 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:37:23.921 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2097ms, infer=63017ms, output=cooperate", "reason": "Since all other agents coop...
2026-02-03 05:37:23.921 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 05:37:23.921 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:38:36.243 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2363ms, infer=69481ms, output=cooperate", "reason": "Since the previous round wa...
2026-02-03 05:38:36.243 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 05:38:36.243 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:38:48.765 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2094ms, infer=9967ms, output=cooperate", "reason": "Since all previous agents h...
2026-02-03 05:38:48.765 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 05:38:48.766 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:39:08.664 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2055ms, infer=17394ms, output=cooperate", "reason": "Since all previous particip...
2026-02-03 05:39:08.665 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 05:39:08.665 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:39:21.783 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2079ms, infer=10550ms, output=cooperate", "reason": "Since the previous round sa...
2026-02-03 05:39:21.783 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_0...
2026-02-03 05:39:21.783 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:39:34.093 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_0: load=2201ms, infer=9588ms, output=cooperate", "reason": "Since all previous particip...
2026-02-03 05:39:34.093 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_1...
2026-02-03 05:39:34.094 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:40:40.107 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_1: load=2050ms, infer=63527ms, output=cooperate", "reason": "Since all previous actions ...
2026-02-03 05:40:40.108 | DEBUG    | agents.lazy_agent:_load_model:57 - Loading model for agent_2...
2026-02-03 05:40:40.108 | DEBUG    | agents.lazy_agent:_load_model:73 - Set CPU affinity to 6 cores
2026-02-03 05:40:51.182 | DEBUG    | agents.lazy_agent:decide:275 - Agent agent_2: load=2097ms, infer=8537ms, output=cooperate", "reason": "Since both previous partici...
