2026-03-29 17:43:14.737 | INFO     | agents.lazy_agent:__init__:46 - LazyAgent agent_0 configured (model not loaded yet, GPU layers=-1)
2026-03-29 17:43:14.737 | INFO     | __main__:run_batch:102 - Pending episodes: 1 (starting from episode 0)
2026-03-29 17:43:14.737 | INFO     | runtime.game_loop:run_episode:44 - Starting episode 0 with seed 42
2026-03-29 17:43:14.737 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:43:14.737 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:43:20.560 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=2913ms, infer=2748ms, status=valid_json, output={"action": "cooperate", "reason": "No prior events or actions, both resources an...
2026-03-29 17:43:20.561 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:43:20.561 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:43:23.889 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1384ms, infer=1791ms, status=valid_json, output={"action": "cooperate", "reason": "Continued cooperation with peers has built a ...
2026-03-29 17:43:23.889 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:43:23.889 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:43:26.795 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1245ms, infer=1510ms, status=valid_json, output={"action": "cooperate", "reason": "Consistent cooperation with peers has establi...
2026-03-29 17:43:26.795 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:43:26.795 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:43:30.400 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1272ms, infer=2185ms, status=valid_json, output={"action": "cooperate", "reason": "Continued cooperation with peers Alpha and Be...
2026-03-29 17:43:30.400 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:43:30.400 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:43:33.816 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1261ms, infer=1995ms, status=valid_json, output={"action": "cooperate", "reason": "Continued cooperation with peers Alpha and Be...
2026-03-29 17:43:33.817 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:43:33.817 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:43:37.178 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1280ms, infer=1920ms, status=valid_json, output={"action": "cooperate", "reason": "Continued cooperation with peers Alpha and Be...
2026-03-29 17:43:37.178 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:43:37.179 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:43:40.553 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1248ms, infer=1968ms, status=valid_json, output={"action": "cooperate", "reason": "Continued cooperation with peers Alpha and Be...
2026-03-29 17:43:40.553 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:43:40.553 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:43:43.891 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1286ms, infer=1896ms, status=valid_json, output={"action": "cooperate", "reason": "Continued cooperation with peers Alpha and Be...
2026-03-29 17:43:43.891 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:43:43.892 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:43:46.948 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1315ms, infer=1587ms, status=valid_json, output={"action": "cooperate", "reason": "Consistent cooperation with peers to maintain...
2026-03-29 17:43:46.948 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:43:46.948 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:43:50.110 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1247ms, infer=1758ms, status=valid_json, output={"action": "cooperate", "reason": "Continued cooperation with peers Alpha and Be...
2026-03-29 17:43:50.111 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:43:50.111 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:43:53.388 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1286ms, infer=1821ms, status=valid_json, output={"action": "cooperate", "reason": "Consistent cooperation with peers to maintain...
2026-03-29 17:43:53.388 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:43:53.388 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:43:56.782 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1305ms, infer=1928ms, status=valid_json, output={"action": "cooperate", "reason": "Continued cooperation with peers Alpha and Be...
2026-03-29 17:43:56.782 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:43:56.782 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:44:00.553 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1239ms, infer=2371ms, status=valid_json, output={"action": "cooperate", "reason": "Continued cooperation with peers Alpha and Be...
2026-03-29 17:44:00.553 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:44:00.553 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:44:04.770 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1388ms, infer=2673ms, status=valid_json, output={"action": "cooperate", "reason": "Continued cooperation with peers Alpha and Be...
2026-03-29 17:44:04.770 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:44:04.770 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:44:08.443 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1293ms, infer=2227ms, status=valid_json, output={"action": "cooperate", "reason": "Continued cooperation with peers Alpha and Be...
2026-03-29 17:44:08.443 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:44:08.443 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:44:12.273 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1296ms, infer=2380ms, status=valid_json, output={"action": "cooperate", "reason": "Continued cooperation with peers Alpha and Be...
2026-03-29 17:44:12.273 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:44:12.273 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:44:15.677 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1295ms, infer=1941ms, status=valid_json, output={"action": "cooperate", "reason": "Continued cooperation with peers Alpha and Be...
2026-03-29 17:44:15.677 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:44:15.677 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:44:18.961 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1287ms, infer=1839ms, status=valid_json, output={"action": "cooperate", "reason": "Continued cooperation with peers to maintain ...
2026-03-29 17:44:18.961 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:44:18.961 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:44:22.247 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1293ms, infer=1833ms, status=valid_json, output={"action": "cooperate", "reason": "Continued cooperation with peers to maintain ...
2026-03-29 17:44:22.247 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:44:22.247 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:44:25.948 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1295ms, infer=2248ms, status=valid_json, output={"action": "cooperate", "reason": "Continued cooperation with peers Alpha and Be...
2026-03-29 17:44:25.948 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:44:25.948 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:44:29.079 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1309ms, infer=1665ms, status=valid_json, output={"action": "cooperate", "reason": "Consistent cooperation with peers to maintain...
2026-03-29 17:44:29.080 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:44:29.080 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:44:32.497 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1313ms, infer=1953ms, status=valid_json, output={"action": "cooperate", "reason": "Maintaining a cooperative stance with peer_al...
2026-03-29 17:44:32.497 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:44:32.497 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:44:35.618 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1281ms, infer=1679ms, status=valid_json, output={"action": "cooperate", "reason": "Continued cooperation with peers to maintain ...
2026-03-29 17:44:35.618 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:44:35.618 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:44:38.673 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1281ms, infer=1616ms, status=valid_json, output={"action": "cooperate", "reason": "Continued cooperation with peers to maintain ...
2026-03-29 17:44:38.673 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
2026-03-29 17:44:38.673 | DEBUG    | agents.lazy_agent:_load_model:67 - Set CPU affinity to 6 cores
2026-03-29 17:44:42.470 | DEBUG    | agents.lazy_agent:decide:222 - Agent agent_0: load=1274ms, infer=2357ms, status=valid_json, output={"action": "cooperate", "reason": "Continued cooperation with peers Alpha and Be...
2026-03-29 17:44:42.470 | DEBUG    | agents.lazy_agent:_load_model:54 - Loading model for agent_0...
