anchor_variant,entropy,episodes,experiment,failure_rate,family,feature_set,jsd,label,label_flips,margin,parser_failures,persistence,section,total
,1.421,100,baseline,,,,0.0,,,,0,0.201,backend_decode,
,0.046,100,single_norm,,,,0.0,,,,1,0.997,backend_decode,
,0.0,100,single_norm_temp07,,,,0.0,,,,0,1.0,backend_decode,
,0.0,100,single_norm_matched,,,,0.0,,,,0,1.0,backend_decode,
,0.975,100,multi_free,,,,0.201,,,,0,0.583,backend_decode,
,1.006,100,multi_norm,,,,0.272,,,,0,0.509,backend_decode,
,0.005,100,temp_low,,,,0.658,,,,1,0.999,backend_decode,
,0.025,100,temp_mid,,,,0.664,,,,5,0.996,backend_decode,
,0.064,100,temp_high,,,,0.678,,,,8,0.986,backend_decode,
,0.015,100,multi_norm_temp07,,,,0.677,,,,0,0.999,backend_decode,
,0.008,100,multi_free_matched,,,,0.02,,,,0,0.995,backend_decode,
,0.017,100,multi_norm_matched,,,,0.04,,,,0,0.999,backend_decode,
,0.028,100,multi_free_rotated,,,,0.011,,,,0,0.981,backend_decode,
,0.03,100,multi_norm_rotated,,,,0.01,,,,0,0.981,backend_decode,
,0.058,100,multi_free_phi3_qwen3_ds_ollama,,,,0.055,,,,0,0.973,backend_decode,
,0.052,100,multi_norm_phi3_qwen3_ds_ollama,,,,0.061,,,,0,0.983,backend_decode,
,0.008,100,multi_free_phi4_qwen35_ds_ollama,,,,0.02,,,,0,0.995,backend_decode,
,0.008,100,multi_norm_phi4_qwen35_ds_ollama,,,,0.04,,,,0,1.0,backend_decode,
,0.008,100,multi_free_phi4_llama3_ds_ollama,,,,0.02,,,,0,0.995,backend_decode,
,0.008,100,multi_norm_phi4_llama3_ds_ollama,,,,0.04,,,,0,1.0,backend_decode,
,0.0,100,solo_qwen,,,,0.0,,,,0,1.0,backend_decode,
,0.0,100,solo_qwen3_ollama,,,,0.0,,,,0,1.0,backend_decode,
,0.0,100,solo_phi4_ollama,,,,0.0,,,,0,1.0,backend_decode,
,0.06352092772102148,100,temp_high,0.0008888888888888889,,,,,,,8,,parser_failures,
,0.02475862381866962,100,temp_mid,0.0005555555555555556,,,,,,,5,,parser_failures,
,0.0028112306709137617,100,homo_qwen35_9b,0.00044444444444444447,,,,,,,4,,parser_failures,
,0.006325269009555964,100,solo_qwen35_9b_exposed,0.001,,,,,,,3,,parser_failures,
,0.05764310958659285,100,homo_phi3,0.00011111111111111112,,,,,,,1,,parser_failures,
,0.4969253163766291,100,multi_free_blind,0.00011111111111111112,,,,,,,1,,parser_failures,
,0.25084744721895647,100,multi_norm_abstain_mask,0.00011111111111111112,,,,,,,1,,parser_failures,
,0.3093551800251015,100,multi_norm_multi,0.00011111111111111112,,,,,,,1,,parser_failures,
,0.6160158759342033,100,multi_norm_strong,0.00011111111111111112,,,,,,,1,,parser_failures,
,0.046226694559365594,100,single_norm,0.0003333333333333333,,,,,,,1,,parser_failures,
,0.011700333844140454,100,solo_gemma4_e4b,0.0003333333333333333,,,,,,,1,,parser_failures,
,0.005394710456442047,100,temp_low,0.00011111111111111112,,,,,,,1,,parser_failures,
,,,,,mistral,entropy_only,,prior_locked,,0.965787,,,classifier_feature_set,
,,,,,gemma3,entropy_only,,prior_locked,,1.439988,,,classifier_feature_set,
,,,,,gemma4,entropy_only,,prior_locked,,1.421307,,,classifier_feature_set,
,,,,,qwen3_ollama,entropy_only,,prior_locked,,1.439988,,,classifier_feature_set,
,,,,,qwen35_9b,entropy_only,,prior_locked,,1.429636,,,classifier_feature_set,
,,,,,phi3,entropy_only,,prior_locked,,1.208383,,,classifier_feature_set,
,,,,,phi4_ollama,entropy_only,,prior_locked,,1.253713,,,classifier_feature_set,
,,,,,llama3_ollama,entropy_only,,prior_locked,,1.439988,,,classifier_feature_set,
,,,,,mistral,entropy_plus_persistence,,prior_locked,,1.012654,,,classifier_feature_set,
,,,,,gemma3,entropy_plus_persistence,,prior_locked,,1.495454,,,classifier_feature_set,
,,,,,gemma4,entropy_plus_persistence,,prior_locked,,1.476963,,,classifier_feature_set,
,,,,,qwen3_ollama,entropy_plus_persistence,,prior_locked,,1.495454,,,classifier_feature_set,
,,,,,qwen35_9b,entropy_plus_persistence,,prior_locked,,1.484674,,,classifier_feature_set,
,,,,,phi3,entropy_plus_persistence,,prior_locked,,1.255486,,,classifier_feature_set,
,,,,,phi4_ollama,entropy_plus_persistence,,prior_locked,,1.287318,,,classifier_feature_set,
,,,,,llama3_ollama,entropy_plus_persistence,,prior_locked,,1.495454,,,classifier_feature_set,
,,,,,mistral,entropy_plus_homo_jsd,,prior_locked,,0.96595,,,classifier_feature_set,
,,,,,gemma3,entropy_plus_homo_jsd,,prior_locked,,1.440209,,,classifier_feature_set,
,,,,,gemma4,entropy_plus_homo_jsd,,prior_locked,,1.42153,,,classifier_feature_set,
,,,,,qwen3_ollama,entropy_plus_homo_jsd,,prior_locked,,1.440209,,,classifier_feature_set,
,,,,,qwen35_9b,entropy_plus_homo_jsd,,prior_locked,,1.429835,,,classifier_feature_set,
,,,,,phi3,entropy_plus_homo_jsd,,prior_locked,,1.205762,,,classifier_feature_set,
,,,,,phi4_ollama,entropy_plus_homo_jsd,,prior_locked,,1.252772,,,classifier_feature_set,
,,,,,llama3_ollama,entropy_plus_homo_jsd,,prior_locked,,1.440209,,,classifier_feature_set,
qwen_local,,,,,,,,,0,,,,anchor_sensitivity,8
gemma3,,,,,,,,,0,,,,anchor_sensitivity,8
qwen3_ollama,,,,,,,,,0,,,,anchor_sensitivity,8
llama3,,,,,,,,,0,,,,anchor_sensitivity,8
